name,                                                                                 tag,           code,       description
skein1024-480,                                                                        multihash,     0x00b39c,
skein1024-488,                                                                        multihash,     0x00b39d,
skein1024-496,                                                                        multihash,     0x00b39e,
skein1024-504,                                                                        multihash,     0x00b39f,
skein1024-512,                                                                        multihash,     0x00b3a0,
skein1024-520,                                                                        multihash,     0x00b3a1,
skein1024-528,                                                                        multihash,     0x00b3a2,
skein1024-536,                                                                        multihash,     0x00b3a3,
skein1024-544,                                                                        multihash,     0x00b3a4,
skein1024-552,                                                                        multihash,     0x00b3a5,
skein1024-560,                                                                        multihash,     0x00b3a6,
skein1024-568,                                                                        multihash,     0x00b3a7,
skein1024-576,                                                                        multihash,     0x00b3a8,
skein1024-584,                                                                        multihash,     0x00b3a9,
skein1024-592,                                                                        multihash,     0x00b3aa,
skein1024-600,                                                                        multihash,     0x00b3ab,
skein1024-608,                                                                        multihash,     0x00b3ac,
skein1024-616,                                                                        multihash,     0x00b3ad,
skein1024-624,                                                                        multihash,     0x00b3ae,
skein1024-632,                                                                        multihash,     0x00b3af,
skein1024-640,                                                                        multihash,     0x00b3b0,
skein1024-648,                                                                        multihash,     0x00b3b1,
skein1024-656,                                                                        multihash,     0x00b3b2,
skein1024-664,                                                                        multihash,     0x00b3b3,
skein1024-672,                                                                        multihash,     0x00b3b4,
skein1024-680,                                                                        multihash,     0x00b3b5,
skein1024-688,                                                                        multihash,     0x00b3b6,
skein1024-696,                                                                        multihash,     0x00b3b7,
skein1024-704,                                                                        multihash,     0x00b3b8,
skein1024-712,                                                                        multihash,     0x00b3b9,
skein1024-720,                                                                        multihash,     0x00b3ba,
skein1024-728,                                                                        multihash,     0x00b3bb,
skein1024-736,                                                                        multihash,     0x00b3bc,
skein1024-744,                                                                        multihash,     0x00b3bd,
skein1024-752,                                                                        multihash,     0x00b3be,
skein1024-760,                                                                        multihash,     0x00b3bf,
